Date,lag_0,lag_1,lag_2,lag_3,rolling_mean_4w,vaksin_persen,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12
2021-01-03 00:00:00+00:00,-0.013140317878000655,-0.05729766531222109,-0.07364238499224332,-0.13684504054635097,-0.07591903528202332,-0.7828868433145798,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-10 00:00:00+00:00,0.12033015692490591,-0.012982618694010482,-0.05710426586837679,-0.07337413958696494,-0.00626083919558689,-0.7828868433145798,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-17 00:00:00+00:00,0.3353985199807165,0.12047432874128236,-0.012794588215753251,-0.056838759372417856,0.1043483620567136,-0.7828868433145798,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-24 00:00:00+00:00,0.3532511791302962,0.3355208944009765,0.12064619031500681,-0.012536419929669062,0.21531172322520023,-0.7828868433145798,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-31 00:00:00+00:00,0.4496180854069435,0.3533717441654951,0.3356667021239493,0.12088225922031047,0.3403369195420673,-0.7828868433145798,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-07 00:00:00+00:00,0.33065445671019883,0.4497288835587254,0.3535153891783864,0.33586716107389736,0.39716103485623516,-0.7828868433145798,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-14 00:00:00+00:00,0.08231522887562609,0.3307773119460694,0.44986085447433033,0.3537128921733708,0.3287845603712342,-0.7828868433145798,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-21 00:00:00+00:00,0.10432518557542259,0.08246325354340875,0.33092369437521774,0.4500424015138153,0.2615312787632807,-0.7828868433145798,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-28 00:00:00+00:00,-0.061009580861127836,0.10447097951183279,0.08263972032846072,0.3311249388236876,0.12357306176105165,-0.7828868433145798,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-07 00:00:00+00:00,-0.09999412885955719,-0.0608470300789192,0.10464477996270727,0.08288208355744565,0.007223096914953235,-0.7828868433145798,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-14 00:00:00+00:00,-0.16534984259945204,-0.09982762695397983,-0.06065320061369971,0.10488349889197132,-0.05968951658314505,-0.7828868433145798,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-21 00:00:00+00:00,-0.15366446570154535,-0.16517671682618618,-0.09962907481555662,-0.06038710637191701,-0.1293915610401569,-0.7102794785333445,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-28 00:00:00+00:00,-0.2139390379911752,-0.1534925242530467,-0.16497024735400287,-0.0993565257052193,-0.17070909361134362,-0.6878436861771104,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-04 00:00:00+00:00,-0.1856119865153736,-0.21376098765381313,-0.1532874703729168,-0.16468687696797701,-0.19384079556567158,-0.6696572660097052,0,0,0,1,0,0,0,0,0,0,0,0
2021-04-11 00:00:00+00:00,-0.25340215377566566,-0.18543680715332866,-0.2135486319804848,-0.15300603479377622,-0.21763022307863092,-0.6510717754397319,0,0,0,1,0,0,0,0,0,0,0,0
2021-04-18 00:00:00+00:00,-0.19581172254698662,-0.2532201038116057,-0.18522788308082203,-0.21325721643591458,-0.22901730762191047,-0.6407995277092221,0,0,0,1,0,0,0,0,0,0,0,0
2021-04-25 00:00:00+00:00,-0.2021413017000194,-0.1956355094313788,-0.2530029674903279,-0.18494115778926754,-0.22582986837623537,-0.6289177716901841,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-02 00:00:00+00:00,-0.21170433450322082,-0.2019644470751627,-0.19542534974059483,-0.2527050178383171,-0.23287933718413056,-0.6194276169200618,0,0,0,0,1,0,0,0,0,0,0,0
2021-05-09 00:00:00+00:00,-0.20758449008408705,-0.21152651065531744,-0.2017535206053498,-0.19513693562721846,-0.2205006048755299,-0.6078307462300001,0,0,0,0,1,0,0,0,0,0,0,0
2021-05-16 00:00:00+00:00,-0.3367228860583893,-0.20740708378658237,-0.21131442569884545,-0.20146405847157722,-0.2585711093897468,-0.6026261664317495,0,0,0,0,1,0,0,0,0,0,0,0
2021-05-23 00:00:00+00:00,-0.21931980449010446,-0.3365323914538417,-0.2071954979170523,-0.21102338016542105,-0.2632122907675764,-0.587492418991949,0,0,0,0,1,0,0,0,0,0,0,0
2021-05-30 00:00:00+00:00,-0.15251590301499895,-0.21914120880661558,-0.33630516147726014,-0.206905134527081,-0.24722112731387721,-0.5689413860183045,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-06 00:00:00+00:00,-0.1628030296858057,-0.15234407797449026,-0.21892820129549345,-0.33599341599068483,-0.2351223499866427,-0.551372696339233,0,0,0,0,0,1,0,0,0,0,0,0
2021-06-13 00:00:00+00:00,0.028495079509305805,-0.16263016203460448,-0.1521391632337502,-0.2186358948302314,-0.13645002438560594,-0.5183672265738973,0,0,0,0,0,1,0,0,0,0,0,0
2021-06-20 00:00:00+00:00,0.31851964223929574,0.02864855890366061,-0.16242400108889438,-0.15185791782793598,0.008860102749769226,-0.4805185225121002,0,0,0,0,0,1,0,0,0,0,0,0
2021-06-27 00:00:00+00:00,0.9033377997238488,0.31864372735088614,0.02883154557903534,-0.16214105239154863,0.29412410990715226,-0.42708181071830853,0,0,0,0,0,1,0,0,0,0,0,0
2021-07-04 00:00:00+00:00,1.4449724970696631,0.9034026129236911,0.31879157981793604,0.029082820082040012,0.7285029335852242,-0.3621558524557376,0,0,0,0,0,0,1,0,0,0,0,0
2021-07-11 00:00:00+00:00,2.3730486009302254,1.4449824150451185,0.9034796192431466,0.31899483348894064,1.361939867869394,-0.3070017325963385,0,0,0,0,0,0,1,0,0,0,0,0
2021-07-18 00:00:00+00:00,3.710799536954044,2.3729644574538953,1.4449938065555612,0.9035860416174263,2.2784450178305926,-0.23605995826917142,0,0,0,0,0,0,1,0,0,0,0,0
2021-07-25 00:00:00+00:00,2.946206350270927,3.710579811067343,2.3728634198001757,1.445010547736766,2.830374577118213,-0.19936498008597225,0,0,0,0,0,0,1,0,0,0,0,0
2021-08-01 00:00:00+00:00,2.7572178508259357,2.946064116677008,3.7103167153464356,2.3727264947324005,3.184908890930019,-0.1598923469822713,0,0,0,0,0,0,0,1,0,0,0,0
2021-08-08 00:00:00+00:00,2.1547717529783013,2.757094771407579,2.9458936454429776,3.7099582920981202,3.1259362054576556,-0.12026779078249525,0,0,0,0,0,0,0,1,0,0,0,0
2021-08-15 00:00:00+00:00,1.6889546773215762,2.1547097320812774,2.7569471946527195,2.94566181975116,2.5796866966353442,-0.07840716489864905,0,0,0,0,0,0,0,1,0,0,0,0
2021-08-22 00:00:00+00:00,0.8996798772547391,1.6889398674562988,2.15463513696117,2.7567466607414897,2.0267688625339852,-0.030497393820475217,0,0,0,0,0,0,0,1,0,0,0,0
2021-08-29 00:00:00+00:00,0.516072424325274,0.8997450611887233,1.6889217024330885,2.1545343530938035,1.4212700862095264,0.026127603518155285,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-05 00:00:00+00:00,0.026859626118679977,0.5161764872625945,0.8998225106368878,1.6888980462521574,0.8463639807403834,0.09341566543765879,0,0,0,0,0,0,0,0,1,0,0,0
2021-09-12 00:00:00+00:00,-0.18160450148948892,0.02701327126789002,0.5163004077545881,0.8999295386718699,0.34098789919753325,0.17192967370106296,0,0,0,0,0,0,0,0,1,0,0,0
2021-09-19 00:00:00+00:00,-0.3718539230142755,-0.18142972829010454,0.02719645606565684,0.5164709516134637,-0.0025472195030066796,0.2604901707670124,0,0,0,0,0,0,0,0,1,0,0,0
2021-09-26 00:00:00+00:00,-0.44678515393439944,-0.3716598678436007,-0.18122128969307777,0.027448001358941397,-0.2626861103206713,0.3516247263846004,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-03 00:00:00+00:00,-0.5214292441828868,-0.44658350440768524,-0.37142838201655104,-0.18093522794106404,-0.41081939793078726,0.4476724681059715,0,0,0,0,0,0,0,0,0,1,0,0
2021-10-10 00:00:00+00:00,-0.5541757651264865,-0.5212200294021306,-0.44634294124783175,-0.3711108197067116,-0.511478392014049,0.5300641106663572,0,0,0,0,0,0,0,0,0,1,0,0
