Date,kasus_baru_mingguan,vaksin_persen
2021-11-21 00:00:00+00:00,2557.0,49.74697905656193
2021-11-28 00:00:00+00:00,2524.0,51.26877231761225
2021-12-05 00:00:00+00:00,1749.0,52.71290978361354
2021-12-12 00:00:00+00:00,1458.0,54.214476098805044
2021-12-19 00:00:00+00:00,1401.0,56.038372678364986
2021-12-26 00:00:00+00:00,1215.0,57.97169032157294
2022-01-02 00:00:00+00:00,1409.0,61.39840193360335
2022-01-09 00:00:00+00:00,3027.0,62.968600858587855
2022-01-16 00:00:00+00:00,5454.0,65.2477547170421
2022-01-23 00:00:00+00:00,14729.0,67.03505079091802
2022-01-30 00:00:00+00:00,56807.0,68.30312345175959
2022-02-06 00:00:00+00:00,173295.0,69.05516103232507
2022-02-13 00:00:00+00:00,291298.0,69.68176223736978
2022-02-20 00:00:00+00:00,389727.0,70.1865905963162
2022-02-27 00:00:00+00:00,341889.0,70.56617058589865
2022-03-06 00:00:00+00:00,209331.0,71.05873672438287
2022-03-13 00:00:00+00:00,141770.0,71.57575513607377
2022-03-20 00:00:00+00:00,71988.0,72.00473411345847
2022-03-27 00:00:00+00:00,36470.0,72.49680803109896
2022-04-03 00:00:00+00:00,21028.0,72.86060512586869
2022-04-10 00:00:00+00:00,12726.0,73.09050630824126
2022-04-17 00:00:00+00:00,7166.0,73.34898775727223
2022-04-24 00:00:00+00:00,4277.0,73.61119121008153
2022-05-01 00:00:00+00:00,2890.0,73.77632797232914
2022-05-08 00:00:00+00:00,1391.0,73.77632797232914
2022-05-15 00:00:00+00:00,2345.0,73.87179846101195
2022-05-22 00:00:00+00:00,1814.0,73.97507601638506
2022-05-29 00:00:00+00:00,1825.0,74.09151955410032
2022-06-05 00:00:00+00:00,2385.0,74.19304917034196
2022-06-12 00:00:00+00:00,3688.0,74.3311822529945
2022-06-19 00:00:00+00:00,7587.0,74.44210847616986
2022-06-26 00:00:00+00:00,12376.0,74.52381824649864
2022-07-03 00:00:00+00:00,13466.0,74.59747743035125
2022-07-10 00:00:00+00:00,17388.0,74.6655560141269
2022-07-17 00:00:00+00:00,23648.0,74.73794837696597
2022-07-24 00:00:00+00:00,33389.0,74.8315325125357
2022-07-31 00:00:00+00:00,38756.0,74.93551916199645
2022-08-07 00:00:00+00:00,37880.0,75.03041786030067
2022-08-14 00:00:00+00:00,37796.0,75.11062025055692
2022-08-21 00:00:00+00:00,32783.0,75.17137806703225
2022-08-28 00:00:00+00:00,30747.0,75.23377390565363
2022-09-04 00:00:00+00:00,26238.0,75.28296712293775
2022-09-11 00:00:00+00:00,19950.0,75.28957250460586
2022-09-18 00:00:00+00:00,16314.0,75.6182587094028
2022-09-25 00:00:00+00:00,13723.0,75.67477380425984
2022-10-02 00:00:00+00:00,12056.0,75.72247148437896
2022-10-09 00:00:00+00:00,10363.0,75.75402321055176
2022-10-16 00:00:00+00:00,11920.0,75.78296986716147
2022-10-23 00:00:00+00:00,14093.0,75.90262579354096
2022-10-30 00:00:00+00:00,19661.0,75.91983427834616
2022-11-06 00:00:00+00:00,30670.0,75.93897685798538
2022-11-13 00:00:00+00:00,40212.0,75.96069971110005
2022-11-20 00:00:00+00:00,46863.0,75.984620163741
2022-11-27 00:00:00+00:00,41877.0,76.02006783639632
2022-12-04 00:00:00+00:00,29959.0,75.39862754839338
2022-12-11 00:00:00+00:00,18587.0,75.43455707934832
2022-12-18 00:00:00+00:00,10807.0,75.4642957303983
2022-12-25 00:00:00+00:00,6527.0,75.48925280753794
